date,open,high,low,close,volume,dividends,stock_splits
2022-02-28 00:00:00+05:30,11.05,11.38,10.58,10.73,0.0,0.0,0.0
2022-02-25 00:00:00+05:30,10.5,11.45,10.49,11.0,0.0,0.0,0.0
2022-02-24 00:00:00+05:30,11.04,11.99,11.04,11.04,0.0,0.0,0.0
2022-02-23 00:00:00+05:30,11.42,11.9,11.38,11.62,0.0,0.0,0.0
2022-02-22 00:00:00+05:30,12.02,12.02,11.97,11.97,0.0,0.0,0.0
2022-02-21 00:00:00+05:30,12.59,12.99,12.59,12.59,0.0,0.0,0.0
2022-02-18 00:00:00+05:30,12.83,14.16,12.82,13.25,0.0,0.0,0.0
2022-02-17 00:00:00+05:30,12.85,13.49,12.21,13.49,0.0,0.0,0.0
2022-02-16 00:00:00+05:30,11.66,12.85,11.66,12.85,0.0,0.0,0.0
2022-02-15 00:00:00+05:30,12.32,12.32,12.24,12.24,0.0,0.0,0.0
2022-02-14 00:00:00+05:30,13.0,13.0,12.88,12.88,0.0,0.0,0.0
2022-02-11 00:00:00+05:30,13.65,14.6,13.55,13.55,0.0,0.0,0.0
2022-02-10 00:00:00+05:30,15.69,15.69,14.21,14.26,0.0,0.0,0.0
2022-02-09 00:00:00+05:30,14.95,14.95,14.95,14.95,0.0,0.0,0.0
2022-02-08 00:00:00+05:30,14.24,14.24,14.24,14.24,0.0,0.0,0.0
2022-02-07 00:00:00+05:30,13.57,13.57,13.57,13.57,0.0,0.0,0.0
2022-02-04 00:00:00+05:30,12.93,12.93,12.93,12.93,0.0,0.0,0.0
2022-02-03 00:00:00+05:30,11.16,12.32,11.16,12.32,0.0,0.0,0.0
2022-02-02 00:00:00+05:30,11.74,11.74,11.74,11.74,0.0,0.0,0.0
2022-02-01 00:00:00+05:30,12.35,12.35,12.35,12.35,0.0,0.0,0.0
